"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
226942,"Data Analyst","Anywhere","Full-time","650000.0","2023-02-20 15:13:33","Mantys"
1246069,"Data Analyst","Anywhere","Full-time","165000.0","2023-12-08 09:16:37","Plexus Resource Solutions"
712473,"Data Analyst","Anywhere","Full-time","165000.0","2023-08-14 16:01:19","Get It Recruit - Information Technology"
456042,"Data Analyst","Anywhere","Full-time","151500.0","2023-09-25 10:59:56","Get It Recruit - Healthcare"
405581,"Data Analyst","Anywhere","Full-time","145000.0","2023-05-01 13:00:20","CyberCoders"
479485,"Data Analyst","Anywhere","Full-time","145000.0","2023-03-15 16:59:55","Level"
1090975,"Data Analyst","Anywhere","Full-time","140500.0","2023-03-24 07:06:43","Uber"
1482852,"Data Analyst","Anywhere","Full-time","138500.0","2023-11-23 12:38:59","Overmind"
479965,"Data Analyst","Anywhere","Full-time","135000.0","2023-02-26 01:04:44","InvestM Technology LLC"
1326467,"Data Analyst","Anywhere","Full-time","135000.0","2023-06-26 17:00:18","EPIC Brokers"
1209798,"Data Analyst","Anywhere","Full-time","130000.0","2023-05-08 19:02:19","Doximity"
1148444,"Data Analyst","Anywhere","Full-time","127000.0","2023-06-22 21:00:56","Acorns"
900945,"Data Analyst","Anywhere","Full-time","125000.0","2023-12-27 13:01:03","The Walt Disney Company"
285447,"Data Analyst","Anywhere","Full-time","125000.0","2023-05-26 14:59:59","Robert Half"
876656,"Data Analyst","Anywhere","Full-time","119200.0","2023-03-25 07:59:55","CVS Health"
945180,"Data Analyst","Anywhere","Full-time","117713.0","2023-11-13 10:59:58","Get It Recruit - Healthcare"
685438,"Data Analyst","Anywhere","Full-time","117500.0","2023-09-12 23:00:51","Jobot"
131427,"Data Analyst","Anywhere","Full-time","117000.0","2023-11-12 09:00:25","Get It Recruit - Information Technology"
1788827,"Data Analyst","Anywhere","Full-time","115791.5","2023-04-14 20:01:05","Kern Health Systems"
357990,"Data Analyst","Anywhere","Full-time","115000.0","2023-01-19 17:00:07","Robert Half"
1403108,"Data Analyst","Anywhere","Full-time","115000.0","2023-12-24 09:00:30","Get It Recruit - Information Technology"
1139755,"Data Analyst","Anywhere","Full-time","115000.0","2023-06-01 19:00:07","Lighthouse Professional Services"
24351,"Data Analyst","Anywhere","Full-time","115000.0","2023-04-21 14:55:10","ManyPets"
236397,"Data Analyst","Anywhere","Full-time","112661.0","2023-07-29 20:00:11","Get It Recruit - Healthcare"
185960,"Data Analyst","Anywhere","Full-time","112500.0","2023-12-03 09:00:01","Get It Recruit - Information Technology"
